iterations,median_betweeness_centrality,median_vertex_degree,num_opinions,median_pagerank
168,0.03155922212939757,9.5,2,0.05148527284000523
136,0.026435301216002967,10.0,2,0.04922781609340539
700,0.024653067854822238,10.5,2,0.05138493245203885
700,0.03144319131161237,9.5,2,0.052596223124586956
700,0.025964216095795037,10.0,2,0.05234740247407192
700,0.02463102199944305,9.0,2,0.04812279389937851
700,0.02180925799346852,10.0,2,0.04997084349489102
131,0.02098185278009839,9.0,2,0.049762326684115524
621,0.025775085862805157,9.0,2,0.049195905946040966
117,0.024364151118537083,9.0,2,0.048656328820752465
700,0.02612897985705003,11.0,2,0.05305948605001255
148,0.01973241183767499,11.0,2,0.05039379612695058
140,0.025660215353197804,10.0,2,0.050531515254502946
700,0.023918592778241897,10.0,2,0.04916320858020154
700,0.03243873572820941,8.0,1,0.04890452148570324
204,0.023736424394319132,9.5,2,0.05034435223329183
110,0.0248886104149262,9.0,2,0.04841037454792111
167,0.025213496704724774,9.0,2,0.04649085100011942
204,0.025158033973823445,9.0,2,0.04910206270719901
700,0.025881939697729166,8.0,1,0.048128480631183995
222,0.02730490756806546,9.0,2,0.049517338773335424
112,0.021707045391255918,10.0,2,0.049645773419939324
219,0.026981806367771276,8.0,2,0.04755197930323925
159,0.03143087419403209,8.0,2,0.04901631206558547
700,0.02441520467836257,8.5,2,0.049133040891536764
427,0.028167641325536057,8.0,2,0.04825062800200093
130,0.028460038986354776,10.0,2,0.05123499282192622
700,0.028905597326649952,9.5,2,0.05144989608637289
700,0.026639955572199975,9.5,1,0.05058565054981473
219,0.02601326548694969,9.5,2,0.05072073499208522
86,0.024314257866889444,9.5,2,0.05238679279586875
130,0.025871496924128504,11.0,2,0.050353383587512804
700,0.026157987561496333,11.0,1,0.05271728451382639
135,0.021729364260324013,10.0,2,0.05073974479430715
358,0.026778752436647173,9.0,2,0.04903250163649464
140,0.0190510999721526,9.0,2,0.047950585611968806
359,0.024560243200594075,9.5,2,0.048946224402549754
700,0.026322751322751324,8.5,2,0.04924440071394004
115,0.026016429963798382,10.0,2,0.04895953896437886
700,0.029072681704260653,9.0,2,0.04995724388335811
700,0.026741622574955902,9.0,2,0.05015715740407431
700,0.024807388842476557,10.0,2,0.05115055998806278
165,0.025978139793929263,9.5,2,0.050131333194834704
132,0.022376543209876542,10.0,2,0.04832664807364677
185,0.0330634278002699,8.5,2,0.052232088770865145
700,0.021710526315789472,9.0,2,0.046884753794984566
700,0.02094704353476283,10.0,2,0.0506215045104839
700,0.019765849809709454,10.5,2,0.048394840234166334
165,0.022192054209598067,10.0,2,0.049152108647240414
153,0.026972077629972366,10.0,2,0.05256571005015692
111,0.021789532754445035,10.0,2,0.04838775049310307
700,0.031920774157616266,9.0,1,0.05231935392419361
157,0.02891952102478418,8.5,2,0.0489503204279452
700,0.028717627401837923,8.0,2,0.04866554873540052
101,0.023158590921748816,10.0,2,0.04846079399250872
700,0.022004189767347658,9.5,2,0.047860103647032415
700,0.02810259581415412,9.5,2,0.050047224523877026
236,0.03206975772765246,9.0,2,0.05231816698604014
700,0.021013181100900398,10.5,2,0.05068167378973181
